box          case                 fill   PANELlit%  PANELwarm%  lower%  club%  bowl%  els  kB  
-----------  -------------------  -----  ---------  ----------  ------  -----  -----  ---  ----
outcome1366  fill0000-bowlclosed  0      0.08       0           0       0      0      100  39.7
outcome1366  fill0200-bowlclosed  0.2    2.24       0.84        17      18.4   0      148  57.0
outcome1366  fill0385-bowlclosed  0.385  4.5        0.84        36.2    35.3   0      148  57.0
outcome1366  fill0500-bowlclosed  0.5    5.87       0.84        47.3    45.8   0      148  56.9
outcome1366  fill0714-bowlclosed  0.714  8.49       0.84        69      66.1   0      148  57.0
outcome1366  fill0900-bowlclosed  0.9    10.66      0.84        86.7    83.5   0      148  57.0
outcome1366  fill0961-bowlclosed  0.961  11.39      0.84        92.6    88.7   0      148  56.9
outcome1366  fill1000-bowlclosed  1      12.09      1.71        97.8    93.3   0      154  61.1
outcome1366  fill0000-bowlopen    0      0.08       0           0       0      0      97   43.5
outcome1366  fill0500-bowlopen    0.5    8.11       0.84        47.3    45.8   44.6   146  69.0
outcome1366  fill0900-bowlopen    0.9    14.4       0.84        86.7    83.5   77.2   146  69.1
outcome1366  fill1000-bowlopen    1      16.25      1.49        97.8    93.4   90     146  66.4
outcome1366  idle-closed          0      0.08       0           0       0      0      97   43.5
outcome1024  fill0000-bowlclosed  0      0.06       0           0       0      0      100  39.7
outcome1024  fill0200-bowlclosed  0.2    2.23       0.84        17      18.4   0      148  57.0
outcome1024  fill0385-bowlclosed  0.385  4.48       0.84        36.2    35.3   0      148  57.0
outcome1024  fill0500-bowlclosed  0.5    5.9        0.84        47.3    45.8   0      148  56.9
outcome1024  fill0714-bowlclosed  0.714  8.52       0.84        69      66.1   0      148  57.0
outcome1024  fill0900-bowlclosed  0.9    10.76      0.84        86.7    83.5   0      148  57.0
outcome1024  fill0961-bowlclosed  0.961  11.45      0.84        92.6    88.7   0      148  56.9
outcome1024  fill1000-bowlclosed  1      12.2       1.69        97.8    93.3   0      154  61.1
outcome1024  fill0000-bowlopen    0      0.06       0           0       0      0      97   43.5
outcome1024  fill0500-bowlopen    0.5    8.15       0.84        47.3    45.8   44.6   146  69.0
outcome1024  fill0900-bowlopen    0.9    14.55      0.84        86.7    83.5   77.2   146  69.1
outcome1024  fill1000-bowlopen    1      16.42      1.47        97.8    93.4   90     146  66.4
outcome1024  idle-closed          0      0.06       0           0       0      0      97   43.5
hero1366     fill0000-bowlclosed  0      0.08       0           0       0      0      100  40.8
hero1366     fill0200-bowlclosed  0.2    1.81       0.68        17.1    17.2   0      148  58.7
hero1366     fill0385-bowlclosed  0.385  3.62       0.68        35.3    34.2   0      148  58.6
hero1366     fill0500-bowlclosed  0.5    4.74       0.68        46.6    44.8   0      148  58.6
hero1366     fill0714-bowlclosed  0.714  6.85       0.68        67.5    64.9   0      148  58.5
hero1366     fill0900-bowlclosed  0.9    8.64       0.68        84.9    82.2   0      148  58.6
hero1366     fill0961-bowlclosed  0.961  9.21       0.68        90.7    87.4   0      148  58.6
hero1366     fill1000-bowlclosed  1      9.82       1.16        96.6    92.8   0.1    154  62.4
hero1366     fill0000-bowlopen    0      0.08       0           0       0      0      97   44.7
hero1366     fill0500-bowlopen    0.5    6.53       0.68        46.6    44.8   44.3   146  71.0
hero1366     fill0900-bowlopen    0.9    11.66      0.68        84.9    82.2   77     146  71.1
hero1366     fill1000-bowlopen    1      13.26      1           96.6    92.9   91.4   146  68.2
hero1366     idle-closed          0      0.08       0           0       0      0      97   44.7
hero1024     fill0000-bowlclosed  0      0.05       0           0       0      0      100  40.8
hero1024     fill0200-bowlclosed  0.2    1.78       0.68        17.1    17.2   0      148  58.7
hero1024     fill0385-bowlclosed  0.385  3.59       0.68        35.3    34.2   0      148  58.7
hero1024     fill0500-bowlclosed  0.5    4.7        0.68        46.6    44.8   0      148  58.6
hero1024     fill0714-bowlclosed  0.714  6.81       0.68        67.5    64.9   0      148  58.6
hero1024     fill0900-bowlclosed  0.9    8.6        0.68        84.9    82.2   0      148  58.7
hero1024     fill0961-bowlclosed  0.961  9.18       0.68        90.7    87.4   0      148  58.7
hero1024     fill1000-bowlclosed  1      9.8        1.13        96.6    92.8   0.1    154  62.5
hero1024     fill0000-bowlopen    0      0.05       0           0       0      0      97   44.7
hero1024     fill0500-bowlopen    0.5    6.47       0.68        46.6    44.8   44.3   146  71.0
hero1024     fill0900-bowlopen    0.9    11.59      0.68        84.9    82.2   77     146  71.1
hero1024     fill1000-bowlopen    1      13.24      0.98        96.6    92.9   91.4   146  68.2
hero1024     idle-closed          0      0.05       0           0       0      0      97   44.7
