box          case                 fill   PANELlit%  PANELwarm%  lower%  club%  bowl%  els  kB   
-----------  -------------------  -----  ---------  ----------  ------  -----  -----  ---  -----
outcome1366  fill0000-bowlclosed  0      0.43       4.35        0.7     0.5    0      279  88.2 
outcome1366  fill0200-bowlclosed  0.2    7.58       4.35        42.6    4.2    0.3    282  90.6 
outcome1366  fill0385-bowlclosed  0.385  15.15      4.35        62.5    24.6   3.2    282  92.8 
outcome1366  fill0500-bowlclosed  0.5    25.12      4.35        66.5    49.7   16.6   281  95.0 
outcome1366  fill0714-bowlclosed  0.714  25.97      4.35        67      70.5   33.4   282  97.4 
outcome1366  fill0900-bowlclosed  0.9    31.55      4.35        67      72.7   57.3   282  99.0 
outcome1366  fill0961-bowlclosed  0.961  35.15      4.35        67      72.7   57.3   282  99.5 
outcome1366  fill1000-bowlclosed  1      37.8       4.74        69      75.4   61.3   288  108.9
outcome1366  fill0000-bowlopen    0      0.43       4.35        0.7     0.5    0      279  88.2 
outcome1366  fill0500-bowlopen    0.5    25.12      4.35        66.5    49.7   16.6   281  95.0 
outcome1366  fill0900-bowlopen    0.9    31.55      4.35        67      72.7   57.3   282  99.0 
outcome1366  fill1000-bowlopen    1      37.8       4.69        69      75.4   61.3   282  101.5
outcome1366  idle-closed          0      0.18       0           0       0      0      279  88.2 
outcome1024  fill0000-bowlclosed  0      0.41       4.9         0.7     0.5    0      279  88.2 
outcome1024  fill0200-bowlclosed  0.2    7.87       4.9         42.6    4.2    0.3    282  90.6 
outcome1024  fill0385-bowlclosed  0.385  16.02      4.9         62.5    24.6   3.2    282  92.8 
outcome1024  fill0500-bowlclosed  0.5    26.3       4.9         66.5    49.7   16.6   281  95.0 
outcome1024  fill0714-bowlclosed  0.714  26.86      4.9         67      70.5   33.4   282  97.4 
outcome1024  fill0900-bowlclosed  0.9    31.7       4.9         67      72.7   57.3   282  99.0 
outcome1024  fill0961-bowlclosed  0.961  35.71      4.9         67      72.7   57.3   282  99.5 
outcome1024  fill1000-bowlclosed  1      38.63      5.28        69      75.4   61.3   288  108.9
outcome1024  fill0000-bowlopen    0      0.41       4.9         0.7     0.5    0      279  88.2 
outcome1024  fill0500-bowlopen    0.5    26.3       4.9         66.5    49.7   16.6   281  95.0 
outcome1024  fill0900-bowlopen    0.9    31.7       4.9         67      72.7   57.3   282  99.0 
outcome1024  fill1000-bowlopen    1      38.63      5.28        69      75.4   61.3   282  101.5
outcome1024  idle-closed          0      0.18       0           0       0      0      279  88.2 
hero1366     fill0000-bowlclosed  0      0.01       0           0       0      0      282  88.6 
hero1366     fill0200-bowlclosed  0.2    1.64       0           0       0      0.3    285  91.1 
hero1366     fill0385-bowlclosed  0.385  2.57       0           0       0.3    3.8    285  93.3 
hero1366     fill0500-bowlclosed  0.5    4.77       0           0       4.6    6.5    284  95.5 
hero1366     fill0714-bowlclosed  0.714  6.44       0           0       4.6    7.4    285  98.0 
hero1366     fill0900-bowlclosed  0.9    8.15       0           0       6.3    10.4   285  99.5 
hero1366     fill0961-bowlclosed  0.961  8.62       0           0       6.4    10.4   285  100.0
hero1366     fill1000-bowlclosed  1      9.61       0.06        0.3     9.3    11.3   291  109.4
hero1366     fill0000-bowlopen    0      0.01       0           0       0      0      282  88.6 
hero1366     fill0500-bowlopen    0.5    4.77       0           0       4.6    6.5    284  95.5 
hero1366     fill0900-bowlopen    0.9    8.15       0           0       6.3    10.4   285  99.6 
hero1366     fill1000-bowlopen    1      9.61       0.06        0.3     9.3    11.3   285  102.1
hero1366     idle-closed          0      0.01       0           0       0      0      282  88.7 
hero1024     fill0000-bowlclosed  0      0          0           0       0      0      282  88.7 
hero1024     fill0200-bowlclosed  0.2    0          0           0       0      0.3    285  91.1 
hero1024     fill0385-bowlclosed  0.385  0          0           0       0.3    3.8    285  93.3 
hero1024     fill0500-bowlclosed  0.5    0          0           0       4.6    6.5    284  95.5 
hero1024     fill0714-bowlclosed  0.714  1.64       0           0       4.6    7.4    285  98.0 
hero1024     fill0900-bowlclosed  0.9    2.1        0           0       6.3    10.4   285  99.6 
hero1024     fill0961-bowlclosed  0.961  2.1        0           0       6.4    10.4   285  100.1
hero1024     fill1000-bowlclosed  1      2.35       0.03        0.3     9.3    11.3   291  109.5
hero1024     fill0000-bowlopen    0      0          0           0       0      0      282  88.7 
hero1024     fill0500-bowlopen    0.5    0          0           0       4.6    6.5    284  95.5 
hero1024     fill0900-bowlopen    0.9    2.1        0           0       6.3    10.4   285  99.6 
hero1024     fill1000-bowlopen    1      2.35       0.03        0.3     9.3    11.3   285  102.1
hero1024     idle-closed          0      0          0           0       0      0      282  88.7 
